güt	442
ußt	65
käf	107
Süs	26
löz	21
nür	44
Zün	90
oßw	100
Mäz	51
 är	171
gäl	16
Vör	17
säe	11
tön	202
ußw	52
Möd	23
Düb	39
aßn	771
Zör	11
Rüh	71
tös	39
DÜL	2
oß.	127
räk	22
näl	250
däm	133
hös	13
wäm	9
Jör	155
Föd	150
ißm	31
 ät	39
Müt	164
Müc	20
zäu	45
Käl	92
Pös	8
pün	12
oßr	163
Pün	13
päs	59
eß,	200
Bör	215
lün	173
fäs	29
 ÖC	7
sös	4
Lör	60
föG	3
füb	8
Jüd	440
mäa	48
zök	5
Vög	195
sök	37
vög	168
eßd	2
oßp	103
pör	37
Töl	49
Küm	57
oßu	17
bös	113
hüp	18
süm	47
gör	26
dän	751
löb	14
lüb	154
Güd	3
JÖ 	4
GÖS	1
gös	1
Bäc	204
iär	135
jös	3
Bär	273
nöf	61
läo	176
zän	159
eßk	6
Mäl	20
Vöc	12
Göh	78
höm	12
Döp	7
 ÖS	13
Gäb	11
möc	329
Dür	278
Wöh	35
Bün	260
Köh	118
Rüs	209
Täu	119
wüc	27
oßi	40
Käf	164
söf	20
Röp	15
Büs	120
gäb	52
läf	51
FüS	1
Fü 	1
ißf	56
aß,	84
lüp	101
oßd	100
KÖS	3
Güs	68
mök	4
Döb	125
hüm	32
ißg	27
möw	8
bär	200
Nüs	43
löf	72
jür	8
oßk	174
köm	119
eßr	10
eäs	17
Pör	6
GÖH	2
Rüp	6
Jül	44
oßz	145
täh	60
böd	45
täf	32
Gös	41
Lüf	75
Höb	13
Göl	49
oßn	40
sör	15
Süß	117
räß	8
Lün	228
Sää	5
büß	63
Päe	1
säh	52
pän	28
Müm	5
möl	36
uüb	45
Päc	101
Vät	78
nüf	13
löß	104
Wär	271
Zär	13
böh	211
tüb	169
Döl	51
aßf	18
Rät	102
 Ör	47
Käh	11
eök	8
rök	23
Däc	61
täi	11
 ÖF	33
räa	34
Pöl	132
Säk	63
oßl	45
aßt	40
Jüt	54
Püc	29
ußd	18
